report_id,description,location,source
R001,Contractor accessed a vessel entry point without permit sign-off. under time pressure to complete the task.,Production Facility B,Industrial Safety Dataset
R002,Contractor was grinding near flammable material without a hot work permit. while working alone without supervision.,Drill Site A,Industrial Safety Dataset
R003,Worker was seen without a hard hat near an overhead crane operation. following a shift handover.,Tank Farm C,Industrial Safety Dataset
R004,Contractor was grinding near flammable material without a hot work permit. under time pressure to complete the task.,Loading Terminal G,Industrial Safety Dataset
R005,Technician entered a tank for cleaning without gas testing performed. while working alone without supervision.,Pipeline ROW D,Industrial Safety Dataset
R006,Worker was struck by a dropped tool from an elevated platform. under time pressure to complete the task.,Gas Processing Plant F,Industrial Safety Dataset
R007,A driver was killed in a vehicle rollover while transporting equipment on an unpaved road.,Production Facility B,IOGP Fatal Incident Report
R008,Worker inspected a pressure vessel without verifying isolation status. while working alone without supervision.,Gas Processing Plant F,Industrial Safety Dataset
R009,Worker performed maintenance on rotating equipment without isolation. during night shift operations.,Production Facility B,Industrial Safety Dataset
R010,"Employee slipped on an oil spill in the workshop, no injury reported. while working alone without supervision.",Drill Site A,Industrial Safety Dataset
R011,Worker performed maintenance on rotating equipment without isolation. during a routine inspection.,Well Pad H,Industrial Safety Dataset
R012,Worker entered a confined space without atmospheric testing. under time pressure to complete the task.,Workshop E,Industrial Safety Dataset
R013,Driver skipped the pre-trip vehicle inspection before a long site journey. following a shift handover.,Pipeline ROW D,Industrial Safety Dataset
R014,Worker was exposed to chemical fumes due to a damaged ventilation system. during night shift operations.,Drill Site A,Industrial Safety Dataset
R015,Worker was seen without a hard hat near an overhead crane operation. during a routine inspection.,Site Yard J,Industrial Safety Dataset
R016,Driver skipped the pre-trip vehicle inspection before a long site journey. during night shift operations.,Gas Processing Plant F,Industrial Safety Dataset
R017,Worker reported a communication gap during shift handover on the drilling rig. during a routine inspection.,Workshop E,Industrial Safety Dataset
R018,Worker was struck by a falling object near the lifting zone. during a routine inspection.,Drill Site A,Industrial Safety Dataset
R019,Employee wore full PPE and followed procedure during routine inspection.,Electrical Substation I,Industrial Safety Dataset
R020,Contractor entered the site without completing the induction training. following a shift handover.,Gas Processing Plant F,Industrial Safety Dataset
R021,Worker noticed an unmarked wet floor and placed a warning sign.,Drill Site A,Industrial Safety Dataset
R022,Rigger was working under a suspended load during lifting operation. during a routine inspection.,Workshop E,Industrial Safety Dataset
R023,Maintenance worker performed welding without proper hot work controls. while working alone without supervision.,Electrical Substation I,Industrial Safety Dataset
R024,Truck driver was found using a mobile phone while driving on the road. under time pressure to complete the task.,Electrical Substation I,Industrial Safety Dataset
R025,Worker performed maintenance on rotating equipment without isolation. under time pressure to complete the task.,Gas Processing Plant F,Industrial Safety Dataset
R026,Employee filled out routine paperwork in the office. following a shift handover.,Well Pad H,Industrial Safety Dataset
R027,Crane operator lifted a load without verifying the rigging inspection. during night shift operations.,Electrical Substation I,Industrial Safety Dataset
R028,Employee reported strong fumes near the chemical storage tank. while working alone without supervision.,Electrical Substation I,Industrial Safety Dataset
R029,"Employee reported a minor spill of hydraulic oil, cleaned up promptly. during night shift operations.",Drill Site A,Industrial Safety Dataset
R030,Worker noticed an unmarked wet floor and placed a warning sign. while working alone without supervision.,Tank Farm C,Industrial Safety Dataset
R031,"A contractor died after a lifting sling failed, causing the suspended load to fall.",Pipeline ROW D,IOGP Fatal Incident Report
R032,Employee wore full PPE and followed procedure during routine inspection. during night shift operations.,Production Facility B,Industrial Safety Dataset
R033,Worker used an unguarded grinder causing sparks near flammable material. during a routine inspection.,Site Yard J,Industrial Safety Dataset
R034,Worker was exposed to an energized electrical panel. following a shift handover.,Electrical Substation I,Industrial Safety Dataset
